id,name_ja,name_en,kind
1,分析思考,Analytical,1
2,原点思考,Context,1
3,未来志向,Futuristic,1
4,着想,Ideation,1
5,収集心,Input,1
6,内省,Intellection,1
7,学習欲,Learner,1
8,戦略性,Strategic,1
9,適応性,Adaptability,2
10,運命思考,Connectedness,2
11,成長促進,Developer,2
12,共感性,Empathy,2
13,調和性,Harmony,2
14,包含,Includer,2
15,個別化,Individualization,2
16,ポジティブ,Positivity,2
17,親密性,Relator,2
18,活発性,Activator,3
19,指令性,Command,3
20,コミュニケーション,Communication,3
21,競争性,Competition,3
22,最上志向,Maximizer,3
23,自己確信,Self-Assurance,3
24,自我,Significance,3
25,社交性,Woo,3
26,達成欲,Achiever,4
27,アレンジ,Arranger,4
28,信念,Belief,4
29,公平性,Consistency,4
30,慎重さ,Deliberative,4
31,規律性,Discipline,4
32,目標志向,Focus,4
33,責任感,Responsibility,4
34,回復志向,Restorative,4
